,0,1
118,118.0,1.1641250735838439e-07
119,119.0,1.1730073869583699e-07
120,120.0,1.181875287759888e-07
121,121.0,1.190728755015084e-07
122,122.0,1.19956586143426e-07
123,123.0,1.208384092805294e-07
124,124.0,1.21718645976176e-07
125,125.0,1.225977398184336e-07
126,126.0,1.2347546675779883e-07
127,127.0,1.243509259256372e-07
128,128.0,1.252245937198558e-07
129,129.0,1.2609698764479698e-07
130,130.0,1.269676001563022e-07
131,131.0,1.2783637222091382e-07
132,132.0,1.287033285823382e-07
133,133.0,1.295686376457284e-07
134,134.0,1.3043284665859542e-07
135,135.0,1.312961539501512e-07
136,136.0,1.321587391770376e-07
137,137.0,1.3302039654362963e-07
138,138.0,1.3388099822758002e-07
139,139.0,1.347402681614026e-07
140,140.0,1.355978731251084e-07
141,141.0,1.364541150353142e-07
142,142.0,1.3730911575092742e-07
143,143.0,1.381628363943702e-07
144,144.0,1.390148402813376e-07
145,145.0,1.3986522497995638e-07
146,146.0,1.4071458148327818e-07
147,147.0,1.4156281925966842e-07
148,148.0,1.4240931546245642e-07
149,149.0,1.4325421931283803e-07
150,150.0,1.440977050324132e-07
151,151.0,1.44939314456826e-07
152,152.0,1.457793334180924e-07
153,153.0,1.4661792191838142e-07
154,154.0,1.474548096928714e-07
155,155.0,1.4828988342308e-07
156,156.0,1.491233178659104e-07
157,157.0,1.499555454950682e-07
158,158.0,1.507866771641784e-07
159,159.0,1.5161655926588122e-07
160,160.0,1.5244414814002338e-07
161,161.0,1.5326968299859102e-07
162,162.0,1.54094455185617e-07
163,163.0,1.549178634996814e-07
164,164.0,1.557398840461596e-07
165,165.0,1.565610294011654e-07
166,166.0,1.573809200102836e-07
167,167.0,1.58199802534142e-07
168,168.0,1.59017686302681e-07
169,169.0,1.598335069769052e-07
170,170.0,1.606473122086882e-07
171,171.0,1.6146006924150058e-07
172,172.0,1.6227218667381722e-07
173,173.0,1.6308316132875321e-07
174,174.0,1.63892671975206e-07
175,175.0,1.647007434533254e-07
176,176.0,1.65506835732329e-07
177,177.0,1.6631127941549623e-07
178,178.0,1.6711454645881543e-07
179,179.0,1.679168638942376e-07
180,180.0,1.687182873417308e-07
181,181.0,1.695184173497618e-07
182,182.0,1.70316974105173e-07
183,183.0,1.71113977247648e-07
184,184.0,1.719093166964326e-07
185,185.0,1.7270338112599982e-07
186,186.0,1.7349601624386302e-07
187,187.0,1.7428703788333382e-07
188,188.0,1.750764653619668e-07
189,189.0,1.758642401291436e-07
190,190.0,1.766507338949226e-07
191,191.0,1.774361210153432e-07
192,192.0,1.782208112625112e-07
193,193.0,1.790045620323582e-07
194,194.0,1.797870437123308e-07
195,195.0,1.805680039067126e-07
196,196.0,1.8134737431012102e-07
197,197.0,1.821257142286656e-07
198,198.0,1.8290297488926942e-07
199,199.0,1.83678784435256e-07
200,200.0,1.84453187767256e-07
201,201.0,1.852261210722344e-07
202,202.0,1.859971012652114e-07
203,203.0,1.867661588710588e-07
204,204.0,1.875337556425366e-07
205,205.0,1.883002366862982e-07
206,206.0,1.890657153242724e-07
207,207.0,1.8982978352765518e-07
208,208.0,1.905924962420408e-07
209,209.0,1.913540312585834e-07
210,210.0,1.921144662209498e-07
211,211.0,1.9287409775024402e-07
212,212.0,1.9363273994793623e-07
213,213.0,1.943900519857482e-07
214,214.0,1.951460876201058e-07
215,215.0,1.9590084731168078e-07
216,216.0,1.9665423942999059e-07
217,217.0,1.974066060755802e-07
218,218.0,1.981578989527328e-07
219,219.0,1.989081534375236e-07
220,220.0,1.9965746520821758e-07
221,221.0,2.0040480807525397e-07
222,222.0,2.0115030164279039e-07
223,223.0,2.0189492981399038e-07
224,224.0,2.0263879225972622e-07
225,225.0,2.0338136085467922e-07
226,226.0,2.041226187475276e-07
227,227.0,2.048622945594038e-07
228,228.0,2.056006270617534e-07
229,229.0,2.063375008049138e-07
230,230.0,2.0707260397230137e-07
231,231.0,2.0780683185601078e-07
232,232.0,2.0854016827161158e-07
233,233.0,2.0927234914890222e-07
234,234.0,2.100033790016998e-07
235,235.0,2.1073355311140623e-07
236,236.0,2.114627885138552e-07
237,237.0,2.1219132474181516e-07
238,238.0,2.1291921215907899e-07
239,239.0,2.13645499026052e-07
240,240.0,2.1437039781435557e-07
241,241.0,2.150942590930056e-07
242,242.0,2.1581672455566458e-07
243,243.0,2.165379678037586e-07
244,244.0,2.1725862829256404e-07
245,245.0,2.1797854868261922e-07
246,246.0,2.1869694829893562e-07
247,247.0,2.1941407939728058e-07
248,248.0,2.2013024947430402e-07
249,249.0,2.2084569460106164e-07
250,250.0,2.2156023036265419e-07
251,251.0,2.222733588382498e-07
252,252.0,2.2298553649882482e-07
253,253.0,2.2369707646980357e-07
254,254.0,2.2440777066358898e-07
255,255.0,2.251174715049668e-07
256,256.0,2.2582630302221658e-07
257,257.0,2.265342109043116e-07
258,258.0,2.2724099084927463e-07
259,259.0,2.2794621621533397e-07
260,260.0,2.2864994347044038e-07
261,261.0,2.2935278156272563e-07
262,262.0,2.300537443703744e-07
263,263.0,2.3075274257689e-07
264,264.0,2.3145054283736222e-07
265,265.0,2.3214676516976302e-07
266,266.0,2.32841361451624e-07
267,267.0,2.335342438284348e-07
268,268.0,2.342253738689144e-07
269,269.0,2.349156723121762e-07
270,270.0,2.3560561658057661e-07
271,271.0,2.3629451728396e-07
272,272.0,2.36982106844322e-07
273,273.0,2.3766897778610262e-07
274,274.0,2.3835517884722883e-07
275,275.0,2.3904029127343743e-07
276,276.0,2.397245533138466e-07
277,277.0,2.4040812213316944e-07
278,278.0,2.4109113654736057e-07
279,279.0,2.417735382847416e-07
280,280.0,2.424549917512648e-07
281,281.0,2.431352090036736e-07
282,282.0,2.438142523114382e-07
283,283.0,2.4449224418715863e-07
284,284.0,2.4516912324117e-07
285,285.0,2.45845077942875e-07
286,286.0,2.465201310890496e-07
287,287.0,2.4719377544376703e-07
288,288.0,2.478661097038304e-07
289,289.0,2.4853794997225623e-07
290,290.0,2.492082846623952e-07
291,291.0,2.49876680769874e-07
292,292.0,2.5054375135337777e-07
293,293.0,2.512097769002534e-07
294,294.0,2.518747311264376e-07
295,295.0,2.525386049935846e-07
296,296.0,2.5320173767088796e-07
297,297.0,2.5386349914270023e-07
298,298.0,2.545238522855714e-07
299,299.0,2.5518336100746983e-07
300,300.0,2.558423225631228e-07
301,301.0,2.56500693944058e-07
302,302.0,2.571580137621542e-07
303,303.0,2.5781442996296606e-07
304,304.0,2.584699539091382e-07
305,305.0,2.591241951381916e-07
306,306.0,2.59777085568643e-07
307,307.0,2.60428754160968e-07
308,308.0,2.6107908554090086e-07
309,309.0,2.61728279530427e-07
310,310.0,2.623767778229822e-07
311,311.0,2.630245012113986e-07
312,312.0,2.6367097310719976e-07
313,313.0,2.643164932075244e-07
314,314.0,2.649611756446288e-07
315,315.0,2.656044371420976e-07
316,316.0,2.662463445055452e-07
317,317.0,2.6688725257077184e-07
318,318.0,2.675272996285284e-07
319,319.0,2.681664042693926e-07
320,320.0,2.688047715384532e-07
321,321.0,2.6944262930533676e-07
322,322.0,2.70079887636144e-07
323,323.0,2.707159165121032e-07
324,324.0,2.7135094800099516e-07
325,325.0,2.719852306144106e-07
326,326.0,2.72618482180351e-07
327,327.0,2.732509956842824e-07
328,328.0,2.7388300320493497e-07
329,329.0,2.745140981729594e-07
330,330.0,2.75144071680253e-07
331,331.0,2.757730908640398e-07
332,332.0,2.7640126756310804e-07
333,333.0,2.770287615868798e-07
334,334.0,2.776555604209976e-07
335,335.0,2.78281377477123e-07
336,336.0,2.7890624389228937e-07
337,337.0,2.7953075355064256e-07
338,338.0,2.8015437521627606e-07
339,339.0,2.8077677428820704e-07
340,340.0,2.8139853460858983e-07
341,341.0,2.820197795127948e-07
342,342.0,2.826403247948178e-07
343,343.0,2.832594800754572e-07
344,344.0,2.838776494437652e-07
345,345.0,2.844952768608842e-07
346,346.0,2.8511184791758896e-07
347,347.0,2.85727435058078e-07
348,348.0,2.863414945509718e-07
349,349.0,2.869538350928688e-07
350,350.0,2.875650276346616e-07
351,351.0,2.881751372140012e-07
352,352.0,2.887839487232012e-07
353,353.0,2.893920846962836e-07
354,354.0,2.89999908598124e-07
355,355.0,2.9060723795189247e-07
356,356.0,2.912142799981516e-07
357,357.0,2.918208994745094e-07
358,358.0,2.924269325151222e-07
359,359.0,2.930320273929584e-07
360,360.0,2.9363603053144517e-07
361,361.0,2.9423953619341063e-07
362,362.0,2.9484244224385785e-07
363,363.0,2.954442001273604e-07
364,364.0,2.96045223006559e-07
365,365.0,2.9664567115598283e-07
366,366.0,2.972452407441626e-07
367,367.0,2.9784428399404785e-07
368,368.0,2.984426143018532e-07
369,369.0,2.9903975652306754e-07
370,370.0,2.9963610914411606e-07
371,371.0,3.00231377986498e-07
372,372.0,3.0082519720198863e-07
373,373.0,3.014177644340524e-07
374,374.0,3.020094087177456e-07
375,375.0,3.026002429332276e-07
376,376.0,3.031901478016456e-07
377,377.0,3.0377952172840365e-07
378,378.0,3.0436829213809016e-07
379,379.0,3.049562338587744e-07
380,380.0,3.0554340287878464e-07
381,381.0,3.061296719807526e-07
382,382.0,3.0671465326939223e-07
383,383.0,3.0729834990558616e-07
384,384.0,3.0788146302802e-07
385,385.0,3.0846410004647336e-07
386,386.0,3.0904563590106483e-07
387,387.0,3.096255772242744e-07
388,388.0,3.102040666683092e-07
389,389.0,3.107812148185812e-07
390,390.0,3.1135687976234e-07
391,391.0,3.1193122566139e-07
392,392.0,3.125045440593652e-07
393,393.0,3.1307692619014583e-07
394,394.0,3.136488695020336e-07
395,395.0,3.1422018449274e-07
396,396.0,3.1479018305308324e-07
397,397.0,3.15359258450631e-07
398,398.0,3.15927837910904e-07
399,399.0,3.164954078805746e-07
400,400.0,3.170617229293604e-07
401,401.0,3.1762676546963767e-07
402,402.0,3.1819029245518663e-07
403,403.0,3.1875262715592915e-07
404,404.0,3.193140540556108e-07
405,405.0,3.198747500353548e-07
406,406.0,3.204342444637024e-07
407,407.0,3.2099275469034154e-07
408,408.0,3.215507250365616e-07
409,409.0,3.221079105632226e-07
410,410.0,3.226642980151428e-07
411,411.0,3.232193923465016e-07
412,412.0,3.237735144983234e-07
413,413.0,3.2432709526674406e-07
414,414.0,3.24880016022618e-07
415,415.0,3.2543211734247223e-07
416,416.0,3.259831522461644e-07
417,417.0,3.265327366283076e-07
418,418.0,3.270810356758362e-07
419,419.0,3.27628580422629e-07
420,420.0,3.281750708304962e-07
421,421.0,3.287204314666688e-07
422,422.0,3.292650683834362e-07
423,423.0,3.2980899216203604e-07
424,424.0,3.303524210149702e-07
425,425.0,3.3089519297227043e-07
426,426.0,3.3143727264564897e-07
427,427.0,3.3197871123996043e-07
428,428.0,3.3251922573451e-07
